강릉, ,20 이상, , ,27.5,18.2,28.2, ,57,동,,1014.3
강진군, ,20 이상, , ,28.8,24.9,31.4, ,80,남남서,,1013.8
강화, ,20 이상, , ,25.4,21.2,27.7, ,78,서남서,,1016.1
거제, ,9.1, , ,28.2,23.9,30.6, ,78,남서,,1015.1
거창, ,20 이상, , ,26.4,20.9,28.3,0.3,72,남동,,1014.5
경주시, ,19.6, , ,29.8,19.4,30.2,0.0,54,남서,,1014.5
고산, ,19.8, , ,28.2,26.3,31.5, ,90,서남서,,1015.6
고창군, ,20 이상, , ,26.5,21.2,28.5,0.2,73,북,,1014.9
고흥, ,20 이상, , ,28.1,23.6,30.4, ,77,남남서,,1014.6
광양시, ,17.6, , ,28.5,24.4,31.0,0.1,79,정온,,1014.8
광주,흐림,20 이상,10,1,28.7,24.8,31.3,0.0,80,북서,,1014.6
구미, ,20 이상, , ,27.1,19.1,28.2,0.0,62,정온,,1015.1
군산, ,19.0, , ,24.4,20.7,26.9, ,80,북북서,,1016.1
금산, ,20 이상, , ,24.9,19.2,26.7, ,71,서북서,,1015.8
김해시, ,14.9, , ,27.9,24.7,30.7, ,83,남남동,,1015.3
남원, ,20 이상, , ,27.7,22.4,29.7,0.0,73,북북서,,1014.6
남해, ,18.2, , ,28.2,23.7,30.5, ,77,남서,,1014.5
대관령, ,16.2, , ,21.7,13.8,22.8, ,61,서,,1013.8
대구,흐림,20 이상,9,7,29.2,13.8,28.2,0.2,39,북북서,,1014.3
대전,박무,8.1,10,10,24.7,23.1,27.9,0.1,91,북동,,1016.0
동두천, ,20 이상, , ,26.2,19.8,27.8,0.0,68,서북서,,1015.5
동해, ,20 이상, , ,24.4,19.4,26.4,0.0,74,동북동,,1014.6
목포,흐림,20 이상,10,8,27.4,23.0,29.7, ,77,서,,1015.6
문경, ,20 이상, , ,24.1,21.0,26.8,0.1,83,서북서,,1014.7
밀양, ,20 이상, , ,29.3,20.4,30.2,0.0,59,서북서,,1013.6
백령도,구름많음,16.8,6,6,24.8,20.4,27.0,0.1,77,남서,,1014.8
보령, ,19.6, , ,24.3,20.4,26.7,0.1,79,북북동,,1014.9
보성군, ,20 이상, , ,28.9,25.5,31.6, ,82,서,,1013.9
보은, ,15.0, , ,23.7,20.8,26.4,0.4,84,정온,,1015.6
봉화, ,20 이상, , ,21.9,17.0,23.9,0.0,74,남,,1015.1
부산,흐림,20 이상,9,3,27.0,20.3,28.5, ,67,동북동,,1013.8
부안, ,20 이상, , ,24.7,21.2,27.2,0.0,81,북서,,1016.0
부여, ,17.1, , ,24.5,19.9,26.7,0.0,76,북북서,,1016.6
북강릉,구름많음,20 이상,8,8,24.2,17.1,25.6, ,65,북북서,,1014.1
북창원, ,20 이상, , ,29.3,23.7,31.2, ,72,서북서,,1014.0
북춘천,구름많음,20 이상,8,1,27.4,19.4,28.5, ,62,남서,,1014.7
산청, ,20 이상, , ,27.6,22.9,29.8,0.1,76,북동,,1014.8
상주, ,20 이상, , ,25.1,19.6,27.0,0.0,72,정온,,1015.4
서귀포,구름많음,20 이상,7,0,27.4,24.4,30.2, ,84,남서,,1015.6
서산, ,20 이상, , ,25.3,21.1,27.6,0.1,78,북,,1015.9
서울,흐림,20 이상,9,5,27.6,19.9,28.8,0.0,63,서,,1015.0
성산, ,20 이상, , ,29.2,22.6,30.8, ,68,남서,,1015.5
세종, ,18.0, , ,24.0,20.3,26.4,0.4,80,북서,,1015.5
속초, ,16.1, , ,25.0,19.5,26.9,0.0,72,남동,,1014.4
수원,구름많음,14.5,7,3,26.9,20.9,28.6,0.0,70,서남서,,1015.5
순창군, ,18.5, , ,28.6,23.0,30.5,0.0,72,남서,,1014.7
순천, ,16.8, , ,28.0,24.6,30.7, ,82,남,,1013.4
안동,흐림,19.5,9,4,24.5,19.9,26.7,0.0,76,북서,,1015.7
양산시, ,20 이상, , ,29.3,23.4,31.2, ,71,남,,1014.1
양평, ,12.8, , ,25.8,20.5,27.8, ,73,남,,1016.1
여수,흐림,17.9,9,2,28.6,24.3,31.0, ,78,남남서,,1014.7
영광군, ,20 이상, , ,26.7,22.7,29.1,0.2,79,북,,1015.3
영덕, ,20 이상, , ,24.7,19.9,26.8,0.0,75,정온,,1014.7
영월, ,15.1, , ,24.0,19.2,26.1,0.0,75,정온,,1015.0
영주, ,19.9, , ,24.1,18.7,26.0,0.0,72,서,,1015.4
영천, ,20 이상, , ,27.9,19.6,28.9,0.2,61,북서,,1015.0
완도,흐림,16.4,9, ,28.3,22.5,30.1, ,71,서,,1015.2
울릉도,구름많음,20 이상,8,0,24.8,20.2,27.0, ,76,동,,1014.0
울산,흐림,20 이상,9,0,26.5,19.6,27.9,0.0,66,남동,,1014.3
울진, ,19.7, , ,25.0,19.8,27.0,0.0,73,남남동,,1015.1
원주, ,17.5, , ,25.4,18.0,26.7,0.0,64,남서,,1015.3
의령군, ,20 이상, , ,28.5,21.5,29.9, ,66,북서,,1014.5
의성, ,20 이상, , ,25.9,20.9,27.9, ,74,북서,,1014.3
이천, ,6.7, , ,26.0,20.5,27.9,0.0,72,남남서,,1015.8
인제, ,20 이상, , ,26.0,18.1,27.1, ,62,서,,1014.7
인천,연무,8.6,9,1,25.8,19.4,27.4,0.0,68,서남서,,1015.2
임실, ,20 이상, , ,26.3,20.6,28.1,0.1,71,서,,1015.0
장수, ,20 이상, , ,25.7,22.1,28.3,0.3,81,북북서,,1014.3
장흥, ,20 이상, , ,28.5,24.7,31.0, ,80,남남동,,1014.5
전주,약한 비 단속적,19.2,10,5,25.5,20.7,27.6,0.0,75,북서,,1014.9
정선군, ,17.1, , ,25.1,20.3,27.2,0.0,75,북서,,1014.9
정읍, ,17.0, , ,25.0,21.0,27.4,0.2,79,남동,,1015.2
제주,구름많음,20 이상,8,6,28.7,25.3,31.4,0.0,82,동,,1015.3
제천, ,13.7, , ,23.5,20.8,26.3, ,85,남서,,1015.4
진도군, ,20 이상, , ,27.0,22.8,29.4, ,78,남서,,1015.0
진주, ,20 이상, , ,27.7,24.3,30.4, ,82,남,,1014.4
창원,흐림,20 이상,9,0,28.1,23.0,30.2, ,74,서,,1014.1
천안, ,9.2, , ,24.4,21.7,27.2,0.0,85,정온,,1016.6
철원, ,20 이상, , ,26.5,18.8,27.7,0.0,63,남서,,1015.0
청송군, , , , ,25.6,20.1,27.5,0.0,72,북북서,,1015.5
청주,흐림,13.0,10,7,25.6,18.7,27.0,0.0,66,북동,,1015.8
추풍령, ,20 이상, , ,25.0,18.9,26.7, ,69,북북동,,1014.8
춘천, ,20 이상, , ,28.0,18.1,28.5, ,55,남서,,1014.9
충주, ,14.6, , ,24.6,19.8,26.7,0.1,75,남남서,,1015.6
태백, ,20 이상, , ,23.0,14.0,23.8,0.0,57,남서,,1013.3
통영, ,14.6, , ,28.7,24.6,31.2, ,79,서남서,,1014.7
파주, ,6.0, , ,25.8,21.4,28.1, ,77,남서,,1015.7
포항,구름많음,20 이상,8,4,27.2,20.2,28.6,0.0,66,북북동,,1014.8
함양군, ,20 이상, , ,27.8,23.1,30.0,0.0,76,정온,,1014.4
합천, ,20 이상, , ,26.4,22.4,28.8,0.3,79,남남서,,1014.5
해남,흐림,20 이상,9,0,26.7,22.7,29.1, ,79,서남서,,1015.5
홍성,흐림,20 이상,10,10,25.3,19.8,27.2,0.0,72,정온,,1015.9
홍천, ,20 이상, , ,26.6,18.4,27.6, ,61,서,,1015.3
흑산도,약한 천둥번개, 비,1.2,10,6,22.1,21.9,25.8,17.8,99,북,,1015.7
